ndcg@1>=0.00,ndcg@1>=0.60,ndcg@1>=0.80,ndcg@1>=1.00,relevance,objective,x
1.98,1.98,1.98,1.98,1.98,1.98,1
3.92,3.92,3.92,3.92,3.96,3.9200000000000004,2
5.82,5.820000000000001,5.820000000000001,5.820000000000001,5.94,5.820000000000002,3
7.68,7.680000000000001,7.680000000000001,7.680000000000001,7.92,7.680000000000001,4
9.5,9.500000000000004,9.500000000000004,9.500000000000004,9.9,9.5,5
11.280000000000001,11.280000000000005,11.280000000000005,11.280000000000005,11.88,11.280000000000001,6
13.020000000000001,13.020000000000003,13.020000000000003,13.020000000000001,13.860000000000005,13.020000000000001,7
14.719999999999999,14.720000000000002,14.720000000000002,14.720000000000002,15.84,14.720000000000002,8
16.38,16.38,16.38,16.38,17.819999999999997,16.38,9
17.999999999999996,18.000000000000007,18.000000000000007,18.000000000000007,19.8,18.0,10
19.580000000000002,19.57999999999999,19.57999999999999,19.57999999999999,21.779999999999994,19.58,11
21.11999999999999,21.120000000000005,21.120000000000005,21.120000000000005,23.75999999999999,21.119999999999994,12
22.619999999999997,22.61999999999999,22.61999999999999,22.61999999999999,25.74,22.619999999999997,13
24.08,24.08,24.08,24.08,27.720000000000006,24.079999999999995,14
25.500000000000004,25.499999999999993,25.499999999999993,25.499999999999993,29.69999999999999,25.5,15
26.879999999999995,26.880000000000003,26.880000000000003,26.880000000000003,31.68,26.880000000000003,16
28.219999999999988,28.220000000000002,28.220000000000002,28.220000000000002,33.66000000000002,28.21999999999999,17
29.520000000000003,29.52,29.52,29.52,35.63999999999999,29.520000000000003,18
30.779999999999994,30.78,30.78,30.78,37.620000000000005,30.779999999999994,19
32.0,32.0,32.0,32.0,39.60000000000001,32.00000000000001,20
33.17999999999999,33.18,33.18,33.18,41.58000000000001,33.18,21
34.32000000000001,34.32,34.32,34.32,43.55999999999999,34.32000000000001,22
35.420000000000016,35.41999999999999,35.41999999999999,35.41999999999999,45.53999999999999,35.42000000000001,23
36.480000000000004,36.48000000000001,36.48000000000001,36.48000000000001,47.52,36.480000000000004,24
37.5,37.5,37.5,37.5,49.5,37.5,25
38.48000000000002,38.480000000000004,38.480000000000004,38.480000000000004,51.48000000000002,38.48000000000002,26
39.41999999999999,39.420000000000016,39.420000000000016,39.420000000000016,53.460000000000015,39.419999999999995,27
40.32000000000001,40.320000000000014,40.320000000000014,40.320000000000014,55.440000000000026,40.32000000000001,28
41.18000000000001,41.18,41.18,41.18,57.419999999999995,41.18000000000001,29
42.000000000000014,42.0,42.0,42.0,59.39999999999999,42.000000000000014,30
42.78,42.780000000000015,42.780000000000015,42.780000000000015,61.380000000000024,42.78,31
43.52000000000001,43.52000000000001,43.52000000000001,43.52000000000001,63.36000000000002,43.52000000000001,32
44.22000000000001,44.22,44.22,44.22,65.33999999999999,44.220000000000006,33
44.879999999999995,44.88000000000002,44.88000000000002,44.88000000000002,67.32000000000006,44.88000000000001,34
45.50000000000001,45.500000000000014,45.500000000000014,45.500000000000014,69.30000000000001,45.500000000000014,35
46.08000000000001,46.080000000000005,46.080000000000005,46.080000000000005,71.28000000000002,46.08000000000001,36
46.62000000000002,46.61999999999999,46.61999999999999,46.61999999999999,73.26,46.620000000000005,37
47.120000000000005,47.12000000000001,47.12000000000001,47.12000000000002,75.24000000000002,47.12000000000001,38
47.58,47.58000000000001,47.58000000000001,47.58000000000001,77.22000000000003,47.58,39
48.000000000000014,48.0,48.0,48.0,79.20000000000003,48.000000000000014,40
48.38000000000001,48.38000000000002,48.38000000000002,48.38000000000002,81.18000000000004,48.38000000000001,41
48.72,48.72000000000001,48.72000000000001,48.72000000000001,83.16000000000005,48.720000000000006,42
49.02000000000001,49.02000000000001,49.02000000000001,49.02000000000001,85.14000000000004,49.02000000000001,43
49.280000000000015,49.28,49.28,49.279999999999994,87.11999999999999,49.280000000000015,44
49.49999999999999,49.500000000000014,49.500000000000014,49.500000000000014,89.10000000000007,49.5,45
49.68,49.68000000000001,49.68000000000001,49.68000000000001,91.08,49.68000000000001,46
49.82000000000001,49.82000000000001,49.82000000000001,49.82000000000001,93.06000000000002,49.82000000000001,47
49.920000000000016,49.91999999999999,49.91999999999999,49.91999999999999,95.04000000000002,49.92000000000001,48
49.97999999999999,49.980000000000004,49.980000000000004,49.980000000000004,97.02000000000002,49.98,49
50.0,50.0,50.0,50.0,99.0,50.0,50
49.98000000000001,49.97999999999999,49.97999999999999,49.97999999999999,100.98,49.98000000000002,51
49.91999999999999,49.920000000000016,49.920000000000016,49.920000000000016,102.96000000000005,49.919999999999995,52
49.81999999999999,49.82000000000001,49.82000000000001,49.82000000000001,104.94000000000004,49.81999999999999,53
49.68000000000001,49.67999999999999,49.67999999999999,49.67999999999999,106.92000000000003,49.68000000000001,54
49.50000000000001,49.499999999999986,49.499999999999986,49.499999999999986,108.89999999999999,49.499999999999986,55
49.27999999999999,49.28,49.28,49.28,110.88000000000007,49.27999999999999,56
49.019999999999996,49.019999999999996,49.019999999999996,49.019999999999996,112.86000000000001,49.019999999999996,57
48.720000000000006,48.719999999999985,48.719999999999985,48.719999999999985,114.83999999999999,48.72,58
48.37999999999999,48.38,48.38,48.38000000000001,116.82000000000006,48.379999999999995,59
47.999999999999986,48.0,48.0,48.0,118.8,47.999999999999986,60
47.58,47.579999999999984,47.579999999999984,47.579999999999984,120.78000000000002,47.57999999999999,61
47.120000000000005,47.119999999999976,47.119999999999976,47.119999999999976,122.76000000000005,47.120000000000005,62
46.619999999999976,46.620000000000005,46.620000000000005,46.620000000000005,124.74,46.619999999999976,63
46.079999999999984,46.07999999999999,46.07999999999999,46.079999999999984,126.72000000000006,46.079999999999984,64
45.5,45.499999999999986,45.499999999999986,45.499999999999986,128.7000000000001,45.49999999999999,65
44.87999999999998,44.88,44.88,44.88000000000001,130.67999999999998,44.87999999999999,66
44.219999999999985,44.22,44.22,44.21999999999999,132.65999999999997,44.22,67
43.51999999999998,43.51999999999998,43.51999999999998,43.519999999999975,134.64000000000013,43.51999999999998,68
42.779999999999994,42.77999999999997,42.77999999999997,42.77999999999997,136.62,42.77999999999999,69
41.99999999999998,41.99999999999999,41.99999999999999,42.0,138.60000000000002,41.999999999999986,70
41.17999999999998,41.179999999999986,41.179999999999986,41.179999999999986,140.58000000000004,41.17999999999997,71
40.31999999999998,40.31999999999998,40.31999999999998,40.31999999999997,142.56000000000003,40.31999999999998,72
39.41999999999997,39.41999999999999,39.41999999999999,39.41999999999999,144.54000000000002,39.41999999999997,73
38.479999999999976,38.47999999999998,38.47999999999998,38.47999999999999,146.52,38.47999999999999,74
37.49999999999998,37.49999999999997,37.49999999999997,37.49999999999997,148.5,37.499999999999986,75
36.479999999999976,36.47999999999997,36.47999999999997,36.47999999999997,150.48000000000005,36.479999999999976,76
35.419999999999966,35.41999999999999,35.41999999999999,35.41999999999999,152.46000000000004,35.41999999999997,77
34.31999999999998,34.31999999999997,34.31999999999997,34.31999999999997,154.44000000000005,34.31999999999998,78
33.17999999999998,33.179999999999964,33.179999999999964,33.179999999999964,156.42000000000007,33.17999999999997,79
31.999999999999957,31.99999999999997,31.99999999999997,31.99999999999997,158.40000000000006,31.99999999999996,80
30.779999999999966,30.779999999999973,30.779999999999973,30.779999999999973,160.38000000000005,30.779999999999966,81
29.51999999999998,29.519999999999968,29.519999999999968,29.519999999999968,162.36000000000007,29.519999999999975,82
28.21999999999996,28.21999999999997,28.21999999999997,28.21999999999997,164.34000000000006,28.219999999999963,83
26.87999999999996,26.87999999999996,26.87999999999996,26.87999999999996,166.3200000000001,26.879999999999956,84
25.499999999999957,25.499999999999964,25.499999999999964,25.499999999999964,168.29999999999995,25.49999999999996,85
24.07999999999997,24.079999999999956,24.079999999999956,24.079999999999956,170.2800000000001,24.07999999999997,86
22.61999999999996,22.619999999999962,22.619999999999962,22.619999999999962,172.26000000000013,22.619999999999955,87
21.11999999999996,21.119999999999948,21.119999999999948,21.119999999999948,174.23999999999998,21.119999999999955,88
19.579999999999956,19.579999999999956,19.579999999999956,19.579999999999956,176.22000000000003,19.579999999999956,89
17.99999999999995,17.999999999999957,17.999999999999957,17.999999999999957,178.20000000000013,17.99999999999995,90
16.379999999999953,16.379999999999953,16.379999999999953,16.379999999999953,180.17999999999998,16.379999999999953,91
14.719999999999951,14.71999999999995,14.71999999999995,14.71999999999995,182.16000000000003,14.71999999999995,92
13.01999999999995,13.019999999999946,13.019999999999946,13.019999999999946,184.14000000000013,13.01999999999995,93
11.279999999999946,11.279999999999946,11.279999999999946,11.279999999999946,186.12000000000003,11.279999999999946,94
9.499999999999943,9.499999999999943,9.499999999999943,9.499999999999943,188.10000000000005,9.499999999999943,95
7.679999999999941,7.679999999999941,7.679999999999941,7.679999999999941,190.08000000000004,7.679999999999941,96
5.81999999999994,5.81999999999994,5.81999999999994,5.81999999999994,192.06000000000003,5.81999999999994,97
3.9199999999999386,3.9199999999999378,3.9199999999999378,3.9199999999999378,194.04000000000005,3.9199999999999386,98
1.9799999999999356,1.9799999999999356,1.9799999999999356,1.9799999999999356,196.02,1.9799999999999356,99
6.661338147750939e-14,6.661338147750939e-14,6.661338147750939e-14,6.661338147750939e-14,198.00000000000003,6.661338147750939e-14,100
1.9800000000000662,1.9800000000000662,1.9800000000000662,1.9800000000000662,199.9800000000001,1.9800000000000662,101
3.9200000000000657,3.9200000000000648,3.9200000000000648,3.9200000000000648,201.96000000000006,3.9200000000000648,102
5.820000000000066,5.820000000000066,5.820000000000066,5.820000000000066,203.9400000000001,5.820000000000066,103
7.6800000000000646,7.680000000000066,7.680000000000066,7.680000000000066,205.9200000000001,7.680000000000065,104
9.500000000000064,9.500000000000064,9.500000000000064,9.500000000000064,207.90000000000006,9.500000000000064,105
11.280000000000063,11.280000000000062,11.280000000000062,11.280000000000062,209.88000000000008,11.280000000000063,106
13.020000000000064,13.02000000000006,13.02000000000006,13.02000000000006,211.86000000000007,13.020000000000064,107
14.720000000000063,14.720000000000061,14.720000000000061,14.720000000000061,213.8400000000001,14.720000000000063,108
16.380000000000063,16.38000000000006,16.38000000000006,16.38000000000006,215.82000000000008,16.380000000000063,109
18.000000000000057,18.000000000000064,18.000000000000064,18.000000000000064,217.8,18.00000000000006,110
19.580000000000062,19.580000000000055,19.580000000000055,19.580000000000055,219.78000000000014,19.580000000000062,111
21.12000000000006,21.12000000000006,21.12000000000006,21.12000000000006,221.76000000000013,21.12000000000006,112
22.620000000000054,22.62000000000006,22.62000000000006,22.62000000000006,223.73999999999998,22.620000000000054,113
24.080000000000055,24.080000000000055,24.080000000000055,24.080000000000055,225.7200000000001,24.080000000000055,114
25.50000000000005,25.50000000000006,25.50000000000006,25.50000000000006,227.70000000000013,25.500000000000053,115
26.88000000000006,26.880000000000052,26.880000000000052,26.880000000000052,229.68,26.88000000000006,116
28.22000000000005,28.220000000000056,28.220000000000056,28.220000000000056,231.66000000000005,28.220000000000052,117
29.520000000000053,29.520000000000046,29.520000000000046,29.520000000000046,233.64000000000019,29.520000000000053,118
30.78000000000005,30.780000000000054,30.780000000000054,30.780000000000054,235.62000000000006,30.78000000000005,119
32.00000000000006,32.00000000000005,32.00000000000005,32.00000000000005,237.6,32.00000000000006,120
33.18000000000005,33.18000000000005,33.18000000000005,33.18000000000005,239.58000000000018,33.18000000000005,121
34.32000000000005,34.320000000000036,34.320000000000036,34.320000000000036,241.56000000000006,34.32000000000004,122
35.42000000000003,35.42000000000006,35.42000000000006,35.42000000000006,243.53999999999996,35.420000000000044,123
36.48000000000005,36.48000000000006,36.48000000000006,36.48000000000006,245.52000000000012,36.48000000000005,124
37.50000000000004,37.50000000000004,37.50000000000004,37.50000000000004,247.50000000000003,37.50000000000004,125
38.48000000000005,38.480000000000025,38.480000000000025,38.480000000000025,249.48,38.48000000000005,126
39.42000000000003,39.42000000000005,39.42000000000005,39.42000000000005,251.46000000000024,39.42000000000004,127
40.320000000000036,40.32000000000005,40.32000000000005,40.32000000000005,253.4400000000001,40.32000000000004,128
41.18000000000005,41.180000000000035,41.180000000000035,41.180000000000035,255.42,41.18000000000004,129
42.000000000000014,42.00000000000004,42.00000000000004,42.00000000000004,257.4000000000002,42.00000000000003,130
42.78000000000004,42.78000000000004,42.78000000000004,42.78000000000004,259.38000000000005,42.78000000000004,131
43.52000000000004,43.52000000000004,43.52000000000004,43.52000000000004,261.35999999999996,43.52000000000004,132
44.22000000000004,44.22000000000003,44.22000000000003,44.22000000000003,263.34000000000015,44.22000000000004,133
44.88000000000002,44.88000000000003,44.88000000000003,44.88000000000003,265.32000000000005,44.880000000000024,134
45.500000000000014,45.50000000000004,45.50000000000004,45.500000000000036,267.3000000000001,45.50000000000003,135
46.08000000000004,46.08000000000003,46.08000000000003,46.08000000000003,269.28000000000026,46.08000000000003,136
46.62000000000002,46.62000000000003,46.62000000000003,46.62000000000003,271.2600000000001,46.62000000000002,137
47.12000000000001,47.120000000000026,47.120000000000026,47.120000000000026,273.24,47.12000000000002,138
47.58000000000003,47.58000000000001,47.58000000000001,47.58000000000001,275.22000000000014,47.58000000000003,139
48.00000000000003,48.000000000000014,48.000000000000014,48.000000000000014,277.20000000000005,48.00000000000003,140
48.38000000000001,48.38000000000003,48.38000000000003,48.38000000000003,279.1800000000002,48.38000000000001,141
48.72000000000001,48.72000000000001,48.72000000000001,48.72000000000001,281.1600000000001,48.72000000000001,142
49.02000000000002,49.02000000000001,49.02000000000001,49.02000000000001,283.1400000000002,49.02000000000001,143
49.28000000000003,49.28,49.28,49.28,285.12000000000006,49.280000000000015,144
49.5,49.500000000000014,49.500000000000014,49.500000000000014,287.0999999999999,49.50000000000001,145
49.68000000000001,49.68000000000001,49.68000000000001,49.68000000000001,289.0800000000001,49.68000000000001,146
49.820000000000014,49.81999999999999,49.81999999999999,49.81999999999999,291.0600000000002,49.82000000000002,147
49.919999999999995,49.92000000000002,49.92000000000002,49.920000000000016,293.04,49.92,148
49.98,49.980000000000004,49.980000000000004,49.980000000000004,295.0200000000002,49.980000000000004,149
50.00000000000001,49.999999999999986,49.999999999999986,49.999999999999986,297.0000000000001,50.0,150
49.98000000000001,49.97999999999999,49.97999999999999,49.97999999999999,298.97999999999996,49.97999999999999,151
49.91999999999999,49.92,49.92,49.92,300.9600000000001,49.91999999999999,152
49.81999999999999,49.81999999999999,49.81999999999999,49.81999999999999,302.94000000000005,49.81999999999999,153
49.68,49.67999999999998,49.67999999999998,49.67999999999998,304.92000000000013,49.67999999999999,154
49.49999999999998,49.5,49.5,49.5,306.90000000000026,49.5,155
49.27999999999998,49.27999999999999,49.27999999999999,49.27999999999999,308.8800000000001,49.27999999999999,156
49.01999999999999,49.01999999999998,49.01999999999998,49.01999999999998,310.86,49.01999999999998,157
48.72,48.71999999999997,48.71999999999997,48.71999999999997,312.8400000000002,48.719999999999985,158
48.37999999999997,48.379999999999995,48.379999999999995,48.37999999999999,314.82000000000005,48.37999999999996,159
47.99999999999997,47.99999999999998,47.99999999999998,47.99999999999997,316.8000000000001,47.99999999999997,160
47.579999999999984,47.57999999999997,47.57999999999997,47.57999999999997,318.7800000000003,47.57999999999998,161
47.11999999999996,47.11999999999998,47.11999999999998,47.11999999999999,320.76000000000016,47.11999999999997,162
46.61999999999997,46.619999999999976,46.619999999999976,46.619999999999976,322.74,46.619999999999976,163
46.07999999999996,46.079999999999956,46.079999999999956,46.07999999999996,324.72000000000014,46.079999999999956,164
45.49999999999997,45.49999999999995,45.49999999999995,45.49999999999996,326.7000000000001,45.49999999999997,165
44.87999999999995,44.87999999999997,44.87999999999997,44.879999999999974,328.6800000000002,44.87999999999996,166
44.21999999999995,44.219999999999956,44.219999999999956,44.219999999999956,330.6600000000001,44.21999999999994,167
43.51999999999995,43.519999999999946,43.519999999999946,43.51999999999994,332.6400000000002,43.51999999999995,168
42.77999999999996,42.779999999999944,42.779999999999944,42.779999999999944,334.6200000000001,42.77999999999996,169
41.99999999999995,41.99999999999996,41.99999999999996,41.99999999999996,336.6,41.99999999999996,170
41.17999999999995,41.17999999999994,41.17999999999994,41.17999999999994,338.5800000000001,41.17999999999996,171
40.31999999999995,40.319999999999936,40.319999999999936,40.31999999999993,340.5600000000002,40.319999999999936,172
39.41999999999993,39.41999999999995,39.41999999999995,39.419999999999945,342.54,39.41999999999993,173
38.47999999999994,38.47999999999994,38.47999999999994,38.47999999999994,344.52000000000027,38.47999999999995,174
37.49999999999994,37.49999999999993,37.49999999999993,37.49999999999993,346.5000000000001,37.49999999999993,175
36.47999999999993,36.47999999999992,36.47999999999992,36.47999999999992,348.47999999999996,36.479999999999926,176
35.419999999999916,35.41999999999993,35.41999999999993,35.41999999999993,350.46000000000015,35.41999999999992,177
34.319999999999936,34.31999999999992,34.31999999999992,34.31999999999992,352.4400000000002,34.319999999999936,178
33.179999999999936,33.17999999999992,33.17999999999992,33.17999999999992,354.42000000000013,33.17999999999992,179
31.99999999999991,31.999999999999915,31.999999999999915,31.999999999999915,356.40000000000026,31.999999999999908,180
30.77999999999991,30.779999999999916,30.779999999999916,30.779999999999916,358.3800000000002,30.779999999999912,181
29.519999999999925,29.519999999999907,29.519999999999907,29.519999999999907,360.36,29.51999999999992,182
28.219999999999906,28.21999999999991,28.21999999999991,28.21999999999991,362.3400000000002,28.219999999999906,183
26.879999999999903,26.879999999999896,26.879999999999896,26.879999999999896,364.32000000000005,26.879999999999896,184
25.4999999999999,25.4999999999999,25.4999999999999,25.4999999999999,366.3000000000002,25.4999999999999,185
24.079999999999895,24.079999999999906,24.079999999999906,24.079999999999906,368.2800000000003,24.079999999999902,186
22.619999999999894,22.61999999999989,22.61999999999989,22.61999999999989,370.26000000000016,22.619999999999898,187
21.11999999999988,21.119999999999894,21.119999999999894,21.119999999999894,372.24000000000007,21.119999999999877,188
19.57999999999989,19.579999999999885,19.579999999999885,19.579999999999885,374.22000000000014,19.57999999999989,189
17.999999999999886,17.999999999999883,17.999999999999883,17.999999999999883,376.2000000000001,17.999999999999883,190
16.379999999999885,16.379999999999878,16.379999999999878,16.379999999999878,378.1800000000002,16.379999999999885,191
14.719999999999873,14.719999999999875,14.719999999999875,14.719999999999875,380.1600000000001,14.719999999999873,192
13.019999999999872,13.019999999999872,13.019999999999872,13.019999999999872,382.14000000000016,13.019999999999872,193
11.279999999999871,11.279999999999868,11.279999999999868,11.279999999999868,384.1200000000001,11.279999999999871,194
9.499999999999865,9.499999999999865,9.499999999999865,9.499999999999865,386.09999999999997,9.499999999999865,195
7.679999999999859,7.679999999999859,7.679999999999859,7.679999999999859,388.0800000000001,7.679999999999859,196
5.819999999999856,5.819999999999856,5.819999999999856,5.819999999999856,390.0600000000003,5.819999999999856,197
3.9199999999998534,3.9199999999998525,3.9199999999998525,3.9199999999998525,392.0400000000001,3.9199999999998534,198
1.9799999999998485,1.9799999999998485,1.9799999999998485,1.9799999999998485,394.02000000000027,1.9799999999998485,199
1.3322676295501878e-13,1.3322676295501878e-13,1.3322676295501878e-13,1.3322676295501878e-13,396.00000000000006,1.3322676295501878e-13,200
1.9800000000001097,1.9800000000001097,1.9800000000001097,1.9800000000001097,397.97999999999996,1.9800000000001097,201
3.920000000000087,3.920000000000087,3.920000000000087,3.920000000000087,399.9600000000001,3.920000000000087,202
5.820000000000066,5.820000000000066,5.820000000000066,5.820000000000066,401.94,5.820000000000066,203
7.680000000000044,7.680000000000046,7.680000000000046,7.680000000000046,403.92,7.680000000000044,204
9.500000000000023,9.500000000000025,9.500000000000025,9.500000000000025,405.9000000000002,9.500000000000023,205
11.280000000000005,11.280000000000006,11.280000000000006,11.280000000000006,407.88,11.280000000000005,206
13.019999999999985,13.019999999999989,13.019999999999989,13.019999999999989,409.8599999999999,13.019999999999985,207
14.719999999999967,14.71999999999997,14.71999999999997,14.71999999999997,411.84,14.719999999999967,208
16.379999999999953,16.379999999999953,16.379999999999953,16.379999999999953,413.8199999999999,16.379999999999953,209
17.99999999999994,17.99999999999993,17.99999999999993,17.99999999999993,415.79999999999995,17.99999999999994,210
19.57999999999992,19.57999999999992,19.57999999999992,19.57999999999992,417.77999999999986,19.57999999999992,211
21.119999999999912,21.1199999999999,21.1199999999999,21.1199999999999,419.75999999999993,21.119999999999912,212
22.61999999999989,22.619999999999898,22.619999999999898,22.619999999999898,421.73999999999984,22.619999999999894,213
24.079999999999885,24.079999999999878,24.079999999999878,24.079999999999878,423.71999999999963,24.079999999999885,214
