ndcg@1>=0.00,ndcg@1>=0.60,ndcg@1>=0.80,ndcg@1>=1.00,relevance,objective,x
1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9599999999999993,1.9599999999999993,1
3.840808080808081,3.840808080808081,3.840808080808081,3.9200000000000004,3.9199999999999986,3.8408080808080807,2
5.6436363636363645,5.6436363636363645,5.6436363636363645,5.880000000000001,5.88,5.643636363636364,3
7.369696969696969,7.369696969696969,7.369696969696969,7.840000000000001,7.839999999999997,7.369696969696969,4
9.02020202020202,9.02020202020202,9.02020202020202,9.8,9.800000000000002,9.02020202020202,5
10.596363636363638,10.596363636363638,10.596363636363638,11.76,11.76,10.596363636363638,6
12.099393939393938,12.099393939393938,12.099393939393938,13.72,13.719999999999999,12.09939393939394,7
13.530505050505052,13.530505050505052,13.530505050505052,15.680000000000001,15.679999999999994,13.530505050505049,8
14.890909090909094,14.890909090909094,14.890909090909094,17.64,17.639999999999997,14.890909090909094,9
16.18181818181818,16.18181818181818,16.18181818181818,19.6,19.600000000000005,16.18181818181818,10
17.404444444444447,17.404444444444447,17.404444444444447,21.56,21.560000000000002,17.404444444444447,11
18.56,18.56,18.56,23.52,23.52,18.56,12
19.649696969696965,19.649696969696965,19.649696969696965,25.480000000000004,25.479999999999997,19.64969696969697,13
20.67474747474747,20.67474747474747,20.67474747474747,27.44,27.439999999999998,20.67474747474747,14
21.63636363636364,21.63636363636364,21.63636363636364,29.400000000000002,29.40000000000001,21.636363636363637,15
22.53575757575758,22.53575757575758,22.53575757575758,31.360000000000003,31.35999999999999,22.53575757575757,16
23.374141414141413,23.374141414141413,23.374141414141413,33.32000000000001,33.31999999999999,23.374141414141413,17
24.15272727272728,24.15272727272728,24.15272727272728,35.28,35.279999999999994,24.15272727272727,18
24.87272727272727,24.87272727272727,24.87272727272727,37.24,37.24,24.872727272727275,19
25.535353535353536,25.535353535353536,25.535353535353536,39.2,39.20000000000001,25.535353535353533,20
26.14181818181818,26.14181818181818,26.812121212121212,41.16,41.160000000000004,26.14181818181818,21
