ndcg@1>=0.00,ndcg@1>=0.60,ndcg@1>=0.80,ndcg@1>=1.00,relevance,objective,x
1.999454160389512,1.999454160389512,1.999454160389512,1.999454160389512,1.9994541603895115,1.9994541603895115,1
3.997816641558045,3.997816641558045,3.997816641558045,3.997816641558045,3.998908320779023,3.9978166415580465,2
5.995087443505597,5.995087443505597,5.995087443505597,5.995087443505597,5.998362481168533,5.9950874435055965,3
7.991266566232178,7.991266566232178,7.991266566232178,7.991266566232178,7.997816641558046,7.9912665662321745,4
9.986354009737775,9.986354009737775,9.986354009737775,9.986354009737775,9.997270801947558,9.986354009737775,5
11.9803497740224,11.9803497740224,11.9803497740224,11.9803497740224,11.996724962337066,11.9803497740224,6
13.973253859086045,13.973253859086045,13.973253859086045,13.973253859086045,13.996179122726572,13.973253859086052,7
15.965066264928712,15.965066264928712,15.965066264928712,15.965066264928712,15.995633283116092,15.965066264928716,8
17.955786991550408,17.955786991550408,17.955786991550408,17.955786991550408,17.995087443505604,17.955786991550397,9
19.94541603895112,19.94541603895112,19.94541603895112,19.94541603895112,19.994541603895108,19.945416038951112,10
21.93395340713085,21.93395340713085,21.93395340713085,21.93395340713085,21.99399576428462,21.933953407130858,11
23.921399096089612,23.921399096089612,23.921399096089612,23.921399096089612,23.99344992467413,23.921399096089605,12
25.90775310582739,25.90775310582739,25.90775310582739,25.90775310582739,25.99290408506364,25.90775310582738,13
27.89301543634419,27.89301543634419,27.89301543634419,27.89301543634419,27.992358245453147,27.893015436344193,14
29.877186087640005,29.877186087640005,29.877186087640005,29.877186087640005,29.991812405842676,29.877186087640005,15
31.860265059714852,31.860265059714852,31.860265059714852,31.860265059714852,31.991266566232184,31.860265059714862,16
33.842252352568714,33.842252352568714,33.842252352568714,33.842252352568714,33.990720726621696,33.842252352568714,17
35.82314796620161,35.82314796620161,35.82314796620161,35.82314796620161,35.99017488701121,35.8231479662016,18
37.80295190061352,37.80295190061352,37.80295190061352,37.80295190061352,37.98962904740071,37.80295190061353,19
39.781664155804464,39.781664155804464,39.781664155804464,39.781664155804464,39.989083207790216,39.78166415580445,20
41.75928473177441,41.75928473177441,41.75928473177441,41.75928473177441,41.98853736817973,41.75928473177442,21
43.73581362852339,43.73581362852339,43.73581362852339,43.73581362852339,43.98799152856924,43.73581362852339,22
45.71125084605138,45.71125084605138,45.71125084605138,45.71125084605138,45.98744568895874,45.7112508460514,23
47.685596384358426,47.685596384358426,47.685596384358426,47.685596384358426,47.98689984934825,47.685596384358426,24
49.65885024344447,49.65885024344447,49.65885024344447,49.65885024344447,49.98635400973778,49.65885024344446,25
51.631012423309535,51.631012423309535,51.631012423309535,51.631012423309535,51.98580817012726,51.631012423309535,26
53.60208292395362,53.60208292395362,53.60208292395362,53.60208292395362,53.985262330516775,53.60208292395362,27
55.572061745376736,55.572061745376736,55.572061745376736,55.572061745376736,55.98471649090629,55.572061745376736,28
57.54094888757886,57.54094888757886,57.54094888757886,57.54094888757886,57.98417065129584,57.54094888757888,29
59.508744350560036,59.508744350560036,59.508744350560036,59.508744350560036,59.98362481168535,59.50874435056003,30
61.4754481343202,61.4754481343202,61.4754481343202,61.4754481343202,61.98307897207485,61.4754481343202,31
63.44106023885942,63.44106023885942,63.44106023885942,63.44106023885942,63.98253313246436,63.44106023885942,32
65.40558066417765,65.40558066417765,65.40558066417765,65.40558066417765,65.98198729285383,65.40558066417765,33
67.36900941027488,67.36900941027488,67.36900941027488,67.36900941027488,67.98144145324338,67.36900941027488,34
69.33134647715116,69.33134647715116,69.33134647715116,69.33134647715116,69.98089561363285,69.33134647715116,35
71.29259186480644,71.29259186480644,71.29259186480644,71.29259186480644,71.98034977402241,71.29259186480644,36
73.25274557324077,73.25274557324077,73.25274557324077,73.25274557324077,73.97980393441188,73.2527455732408,37
75.21180760245409,75.21180760245409,75.21180760245409,75.21180760245409,75.97925809480142,75.21180760245409,38
77.16977795244645,77.16977795244645,77.16977795244645,77.16977795244645,77.97871225519097,77.16977795244645,39
79.12665662321783,79.12665662321783,79.12665662321783,79.12665662321783,79.97816641558043,79.12665662321783,40
81.08244361476824,81.08244361476824,81.08244361476824,81.08244361476824,81.97762057596998,81.0824436147682,41
83.03713892709766,83.03713892709766,83.03713892709766,83.03713892709766,83.97707473635946,83.03713892709766,42
84.99074256020613,84.99074256020613,84.99074256020613,84.99074256020613,85.97652889674902,84.99074256020613,43
86.94325451409357,86.94325451409357,86.94325451409357,86.94325451409357,87.97598305713848,86.94325451409357,44
88.89467478876007,88.89467478876007,88.89467478876007,88.89467478876007,89.97543721752804,88.89467478876007,45
90.84500338420557,90.84500338420557,90.84500338420557,90.84500338420557,91.97489137791749,90.84500338420557,46
92.79424030043013,92.79424030043013,92.79424030043013,92.79424030043013,93.97434553830706,92.79424030043016,47
94.74238553743368,94.74238553743368,94.74238553743368,94.74238553743368,95.97379969869652,94.74238553743368,48
96.68943909521627,96.68943909521627,96.68943909521627,96.68943909521627,97.97325385908606,96.68943909521627,49
98.63540097377786,98.63540097377786,98.63540097377786,98.63540097377786,99.97270801947552,98.63540097377785,50
100.58027117311848,100.58027117311848,100.58027117311848,100.58027117311848,101.97216217986508,100.58027117311848,51
102.52404969323814,102.52404969323814,102.52404969323814,102.52404969323814,103.97161634025456,102.52404969323817,52
104.46673653413679,104.46673653413679,104.46673653413679,104.46673653413679,105.97107050064407,104.46673653413684,53
106.4083316958145,106.4083316958145,106.4083316958145,106.4083316958145,107.97052466103355,106.40833169581451,54
